assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3
0,0,18,1,5.8,315,0.03,0.06,0.03,0.49,10,0,0,2.3,16.0,2022-08-07,88,19,0,0,0,0,1,0,220268,1,2,0,1.0,3,0,0,0,60,False,0,0,1,0.0188551004976034,90,West Ham,Manchester City,0,2,18211,2022,540084,0.0,0,0,0,0.0188551004976034,1.074120044708252,1.074120044708252,5,3,1,3.2,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,9,1,13.3,315,0.17,0.31,0.14,0.13,17,0,0,3.0,9.4,2022-08-13,90,3,0,0,0,0,2,0,253733,1,0,4,7.0,3,-10733,23986,34719,60,True,0,0,2,0.1028079986572265,90,Manchester City,Bournemouth,4,0,18214,2022,540561,0.0,0,0,0,0.1028079986572265,0.4743930101394653,0.4743930101394653,2,5,2,4.5,MID,1.0,0.03,0.06,0.03,0.49,0.0,0.0,2.3,16.0,5.8,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.02,1.07,1.07,3.2,220268.0
1,0,29,0,16.8,315,0.46,0.59,0.13,1.81,28,3,0,9.6,39.2,2022-08-21,90,15,0,0,0,0,3,0,248071,1,3,3,40.0,5,-22168,25803,47971,60,False,0,0,4,0.1635710000991821,90,Newcastle United,Manchester City,3,3,18230,2022,543283,0.5415260195732117,1,1,0,0.1635710000991821,1.0193899869918823,0.9509680271148682,5,4,3,4.7,MID,2.0,0.2,0.37,0.17,0.62,0.0,0.0,5.3,25.4,19.1,8.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,0.0,3.0,0.12,0.0,0.0,0.0,0.0,0.12,1.55,1.55,7.7,474001.0
1,0,20,0,19.8,315,0.08,0.08,0.0,0.12,37,2,0,5.4,27.8,2022-08-27,90,7,0,0,0,0,4,0,235163,1,2,4,6.0,5,-24511,11846,36357,59,True,0,0,0,0.0,90,Manchester City,Crystal Palace,4,2,18237,2022,544435,0.0385279990732669,1,1,0,0.0,1.4064099788665771,1.3678799867630005,2,5,4,5.0,MID,2.0,0.66,0.96,0.3,2.43,3.0,0.0,14.9,64.6,35.9,48.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,11.0,0.0,7.0,0.29,0.54,1.0,1.0,0.0,0.29,2.57,2.5,12.4,722072.0
0,0,7,0,25.8,315,0.03,0.1,0.07,0.33,49,0,0,3.5,5.2,2022-08-31,54,16,0,0,0,0,5,0,242315,1,0,6,4.0,1,-3716,20273,23989,59,True,0,0,1,0.0450999997556209,56,Manchester City,Nottingham Forest,6,0,18246,2022,546317,0.3336589932441711,0,2,0,0.0450999997556209,0.0977486968040466,0.0977486968040466,2,5,5,4.9,MID,1.0,0.71,0.98,0.27,2.06,5.0,0.0,18.0,76.4,49.9,53.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,11.0,13.0,0.0,6.0,0.27,0.58,2.0,2.0,0.0,0.27,2.9,2.79,14.2,736967.0
0,0,11,0,6.3,315,0.07,0.17,0.1,0.34,51,1,0,3.3,5.8,2022-09-03,90,2,0,0,0,0,6,0,232917,1,1,1,21.0,2,-15884,19708,35592,59,False,0,0,2,0.0571927018463611,90,Aston Villa,Manchester City,1,1,18258,2022,547446,0.0,0,0,0,0.0571927018463611,1.1647000312805176,1.1327500343322754,5,2,6,4.2,MID,0.0,0.57,0.77,0.2,2.26,5.0,0.0,18.5,72.2,62.4,50.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,13.0,11.0,0.0,5.0,0.21,0.91,2.0,4.0,0.0,0.21,2.52,2.42,14.6,725549.0
0,0,12,1,4.1,315,0.06,0.08,0.02,0.41,80,0,0,2.6,14.6,2022-09-17,80,20,0,0,0,0,8,0,223222,1,3,0,7.0,2,-1344,6780,8124,59,False,1,0,1,0.0240164007991552,84,Wolverhampton Wanderers,Manchester City,0,3,18274,2022,550449,0.0,0,0,0,0.0240164007991552,0.8701710104942322,0.8461549878120422,5,2,8,3.5,MID,0.0,0.1,0.27,0.17,0.67,1.0,0.0,6.8,11.0,32.1,25.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,3.0,0.0,3.0,0.1,0.33,0.0,2.0,0.0,0.1,1.26,1.23,9.1,475232.0
1,0,27,1,24.4,315,0.06,0.06,0.0,0.16,97,0,0,6.3,38.2,2022-10-08,90,17,0,0,0,0,10,0,187732,1,0,4,0.0,6,-30542,3740,34282,57,True,0,0,0,0.0,90,Manchester City,Southampton,4,0,18298,2022,554125,0.3974950015544891,1,2,0,0.0,1.3087400197982788,1.2304799556732178,2,5,10,3.7,MID,1.0,0.06,0.08,0.02,0.41,0.0,0.0,2.6,14.6,4.1,7.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.02,0.87,0.85,3.5,223222.0
0,0,22,0,22.8,315,0.04,0.07,0.03,2.07,106,1,0,5.9,28.6,2022-10-16,90,12,0,0,0,0,11,0,182018,1,0,1,8.0,2,-7813,3416,11229,57,False,0,0,1,0.0291547998785972,90,Liverpool,Manchester City,1,0,18307,2022,556899,0.0626346990466117,0,2,0,0.0291547998785972,0.5528969764709473,0.5242080092430115,5,4,11,2.5,MID,2.0,0.12,0.14,0.02,0.57,0.0,0.0,8.9,52.8,28.5,7.0,170.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,8.0,0.0,1.0,0.02,0.4,1.0,2.0,0.0,0.02,2.18,2.08,7.2,410954.0
0,0,11,0,4.3,315,0.02,0.13,0.11,0.48,125,1,0,2.6,17.8,2022-10-22,90,5,0,0,0,0,13,0,177499,1,1,3,4.0,2,20,4865,4845,57,True,0,0,1,0.0469499006867408,90,Manchester City,Brighton,3,1,18326,2022,558239,0.0,0,0,0,0.0469499006867408,0.4841350018978119,0.4841350018978119,3,5,13,3.5,MID,1.0,0.1,0.13,0.03,2.23,1.0,0.0,12.2,66.8,47.2,8.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,8.0,0.0,1.0,0.03,0.46,1.0,4.0,0.0,0.03,1.86,1.75,6.2,369750.0
