assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3
0,0,-1,0,1.8,321,0.0,0.0,0.0,0.04,4,0,0,0.8,0.0,2024-08-17,11,False,10,0,0,0,0,1,0,367195,0,2,0,6.0,0,0,0,0,75,False,1,0,0,0.0,10,Ipswich,Liverpool,0,2,26603,2024,666261,0.1288326978683471,0,1,0,0.0,0.1288326978683471,0.1288326978683471,5.0,2.0,1.0,3.4,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,3,0,1.1,321,0.01,0.04,0.03,0.0,16,0,0,0.7,2.2,2024-08-25,18,False,4,0,0,0,0,2,0,309876,0,0,2,4.0,1,-88748,17819,106567,74,True,0,0,1,0.0323112271726131,16,Liverpool,Brentford,2,0,26621,2024,668959,0.0,0,0,0,0.0323112271726131,0.0323112271726131,0.0,2.0,5.0,2.0,1.0,FWD,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.8,0.0,1.8,6.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,1.0,0.0,0.0,0.13,0.13,3.4,367195.0
0,0,2,0,0.0,321,0.0,0.34,0.34,0.87,27,0,0,1.2,1.2,2024-09-01,24,False,14,0,0,0,0,3,0,247819,0,3,0,11.0,1,-72769,15664,88433,73,False,0,0,2,0.5083661675453186,19,Manchester United,Liverpool,0,3,26631,2024,672639,0.0,0,0,0,0.5083661675453186,0.5083661675453186,0.0,5.0,3.0,3.0,1.2,FWD,0.0,0.01,0.04,0.03,0.04,0.0,0.0,1.5,2.2,2.9,10.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.03,0.13,0.0,1.0,0.0,0.03,0.16,0.13,4.4,677071.0
0,0,3,0,1.5,321,0.0,0.0,0.0,0.3,36,1,0,0.3,1.2,2024-09-14,29,False,16,0,0,0,0,4,0,207627,0,1,0,0.0,1,-47998,13125,61123,72,True,0,0,0,0.0,26,Liverpool,Nottingham Forest,0,1,26635,2024,673776,0.0,0,0,0,0.0,0.0203392002731561,0.0203392002731561,3.0,5.0,4.0,1.3,FWD,0.0,0.01,0.38,0.37,0.91,0.0,0.0,2.7,3.4,2.9,21.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,3.0,0.54,0.13,0.0,1.0,0.0,0.54,0.67,0.13,5.6,924890.0
0,0,10,0,30.8,321,0.09,0.16,0.07,0.55,46,0,0,4.4,7.2,2024-09-21,18,False,3,0,0,0,0,5,0,203266,0,0,3,6.0,1,-9803,13131,22934,72,True,0,0,1,0.0784086212515831,15,Liverpool,Bournemouth,3,0,26645,2024,675695,0.5401819944381714,0,3,0,0.0784086212515831,0.6185906529426575,0.4074389040470123,3.0,5.0,5.0,1.5,FWD,0.0,0.01,0.38,0.37,1.17,1.0,0.0,2.2,4.6,2.6,15.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,3.0,0.54,0.0,0.0,0.0,0.0,0.54,0.56,0.02,3.5,765322.0
0,0,3,0,1.2,321,0.01,0.01,0.0,0.01,60,0,0,0.6,1.0,2024-09-28,17,False,20,0,0,0,0,6,0,188387,0,2,1,4.0,1,-17568,7157,24725,72,False,0,0,0,0.0,13,Wolverhampton Wanderers,Liverpool,1,2,26658,2024,678075,0.0,0,0,0,0.0,0.0787643417716026,0.0787643417716026,5.0,2.0,6.0,1.5,FWD,0.0,0.09,0.5,0.41,1.72,1.0,0.0,5.9,9.6,32.3,17.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,3.0,0.59,0.54,0.0,3.0,0.0,0.59,1.15,0.43,4.0,658712.0
1,0,30,1,56.3,321,0.24,0.3,0.06,0.64,66,0,0,10.4,36.4,2024-10-05,90,False,7,0,0,0,0,7,0,184193,1,1,0,11.0,4,-8255,9254,17509,71,False,1,0,2,0.0825925841927528,90,Crystal Palace,Liverpool,0,1,26662,2024,679195,0.634814441204071,1,5,0,0.0825925841927528,1.1565393209457395,0.5317868590354919,5.0,3.0,7.0,2.3,FWD,0.0,0.1,0.17,0.07,0.86,1.0,0.0,5.3,9.4,33.5,10.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,1.0,0.08,0.54,0.0,3.0,0.0,0.08,0.72,0.51,4.3,599280.0
0,0,4,0,13.9,321,0.15,0.17,0.02,0.63,74,1,0,2.2,1.6,2024-10-20,65,False,6,0,0,0,0,8,0,187727,1,1,2,6.0,2,-831,9783,10614,71,True,0,0,1,0.0518696680665016,74,Liverpool,Chelsea,2,1,26679,2024,682192,0.1521145701408386,0,1,0,0.0518696680665016,0.8732575178146362,0.669273316860199,4.0,5.0,8.0,2.8,FWD,1.0,0.34,0.47,0.13,1.2,0.0,0.0,15.4,44.6,88.3,21.0,125.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,6.0,0.0,3.0,0.16,1.17,1.0,8.0,0.0,0.16,1.85,1.02,5.3,575846.0
0,0,6,0,1.9,321,0.01,0.01,0.0,0.23,81,0,0,0.4,2.4,2024-10-27,27,False,1,0,0,0,0,9,0,186802,0,2,2,0.0,1,-2443,4708,7151,71,False,0,0,0,0.0,23,Arsenal,Liverpool,2,2,26691,2024,683724,0.0,0,0,0,0.0,0.0,0.0,5.0,5.0,9.0,2.0,FWD,1.0,0.4,0.48,0.08,1.28,1.0,0.0,13.2,39.0,71.4,21.0,172.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,7.0,0.0,3.0,0.13,0.79,1.0,6.0,0.0,0.13,2.11,1.28,6.6,560307.0
0,3,35,0,16.8,321,0.14,0.24,0.1,1.01,94,1,1,7.4,39.2,2024-11-02,90,False,5,0,0,0,0,10,0,195124,1,1,2,18.0,9,5490,15429,9939,71,True,0,1,3,0.1145695373415947,90,Liverpool,Brighton,2,1,26696,2024,685030,0.063719667494297,0,1,1,0.1145695373415947,0.2638462781906128,0.1345683187246322,3.0,5.0,10.0,5.0,FWD,1.0,0.4,0.48,0.08,1.5,1.0,0.0,13.0,40.4,72.1,17.0,182.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,7.0,0.0,3.0,0.13,0.79,1.0,6.0,0.0,0.13,2.03,1.2,7.1,558722.0
0,0,3,0,0.8,321,0.0,0.06,0.06,0.22,105,0,0,2.2,0.2,2024-11-09,25,False,2,0,0,0,0,11,0,226054,0,0,2,21.0,1,26027,34842,8815,71,True,0,0,2,0.0983730629086494,22,Liverpool,Aston Villa,2,0,26707,2024,686982,0.0,0,0,0,0.0983730629086494,0.0564121305942535,0.0,3.0,5.0,11.0,4.7,FWD,0.0,0.3,0.42,0.12,1.87,2.0,1.0,10.0,43.2,32.6,24.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,12.0,1.0,4.0,0.17,0.22,0.0,2.0,1.0,0.17,1.14,0.8,9.8,569653.0
0,0,14,0,24.3,321,0.08,0.19,0.11,1.23,120,2,0,5.2,11.0,2024-11-24,61,False,17,0,0,0,0,12,0,223702,1,3,2,17.0,1,-3802,13647,17449,71,False,1,0,3,0.1775819808244705,68,Southampton,Liverpool,2,3,26721,2024,689150,0.2650887072086334,0,1,0,0.1775819808244705,0.6124231219291687,0.4348411560058594,5.0,2.0,12.0,5.2,FWD,0.0,0.15,0.31,0.16,1.46,1.0,1.0,10.0,41.8,19.5,39.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,11.0,1.0,5.0,0.21,0.06,0.0,1.0,1.0,0.21,0.32,0.13,11.7,607980.0
0,3,33,1,11.8,321,0.02,1.37,1.36,0.23,125,0,1,11.0,36.8,2024-12-01,72,False,13,0,0,0,0,13,0,214746,1,0,2,61.0,9,-10152,6179,16331,71,True,0,1,4,1.627618432044983,76,Liverpool,Manchester City,2,0,26726,2024,690866,0.0228963941335678,0,1,1,1.627618432044983,1.650514841079712,0.0,4.0,5.0,13.0,5.0,FWD,0.0,0.22,0.49,0.27,2.46,3.0,1.0,14.8,50.4,41.9,56.0,176.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,11.0,1.0,8.0,0.39,0.33,0.0,2.0,1.0,0.39,0.93,0.57,14.9,644880.0
0,0,10,0,1.5,321,0.02,0.12,0.1,1.24,139,2,0,2.8,6.2,2024-12-04,66,False,15,0,0,0,0,14,0,281198,1,3,3,20.0,2,59948,67016,7068,71,False,0,0,2,0.1274066269397735,70,Newcastle United,Liverpool,3,3,26740,2024,691441,0.0,0,0,0,0.1274066269397735,0.2194636017084121,0.0920569747686386,5.0,4.0,14.0,4.2,FWD,1.0,0.1,1.62,1.53,1.68,2.0,1.0,18.4,48.0,36.9,99.0,158.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,6.0,11.0,1.0,9.0,1.9,0.29,0.0,2.0,1.0,1.9,2.32,0.43,14.9,664502.0
0,3,37,0,12.4,321,0.01,0.59,0.58,0.88,155,1,1,12.7,45.6,2024-12-14,69,False,9,0,0,0,0,16,0,301531,1,2,2,69.0,9,5546,25364,19818,71,True,0,1,3,0.552025556564331,75,Liverpool,Fulham,2,2,26752,2024,693763,0.0309703405946493,0,1,1,0.552025556564331,0.6561974883079529,0.0845210999250412,3.0,5.0,16.0,6.2,FWD,1.0,0.04,1.49,1.46,1.47,2.0,1.0,13.8,43.0,13.3,81.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,11.0,1.0,6.0,1.76,0.02,0.0,1.0,1.0,1.76,1.87,0.09,9.2,495944.0
0,0,1,0,27.3,321,0.09,0.15,0.06,0.34,169,1,0,4.7,9.0,2024-12-22,67,False,18,0,0,0,0,17,0,343609,1,6,3,11.0,1,36405,53414,17009,71,False,1,0,1,0.0568139180541038,70,Tottenham,Liverpool,3,6,26768,2024,695865,0.1614465415477752,0,2,0,0.0568139180541038,1.3434288501739502,1.2866148948669434,5.0,4.0,17.0,4.9,FWD,0.0,0.03,0.71,0.68,2.12,3.0,1.0,15.5,51.8,13.9,89.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,11.0,1.0,5.0,0.68,0.03,0.0,1.0,1.0,0.68,0.88,0.18,10.4,582729.0
1,3,52,0,32.2,321,0.63,0.74,0.11,0.34,175,1,1,12.8,60.8,2024-12-26,90,False,11,0,0,0,0,18,0,377263,1,1,3,35.0,12,30095,67232,37137,72,True,0,1,3,0.0801293402910232,90,Liverpool,Leicester,3,1,26776,2024,696344,0.2362208664417266,1,2,1,0.0801293402910232,0.8214961886405945,0.5404889583587646,2.0,5.0,18.0,7.6,FWD,0.0,0.1,0.74,0.64,1.22,2.0,1.0,17.4,54.6,39.7,80.0,136.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,5.0,10.0,1.0,4.0,0.61,0.19,0.0,3.0,1.0,0.61,2.0,1.37,11.1,645140.0
0,0,31,0,26.3,321,0.34,0.55,0.21,0.12,190,0,1,9.1,38.0,2024-12-29,57,False,19,0,0,0,0,19,0,577182,1,5,0,27.0,5,189813,207269,17456,72,False,0,1,2,0.6138030886650085,61,West Ham,Liverpool,0,5,26791,2024,696820,0.5992571711540222,0,2,1,0.6138030886650085,1.1859090328216553,0.0187029317021369,5.0,2.0,19.0,6.8,FWD,0.0,0.73,1.48,0.75,1.56,3.0,2.0,30.2,115.4,71.9,115.0,226.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,8.0,22.0,2.0,7.0,0.69,0.43,1.0,5.0,2.0,0.69,2.82,1.91,18.7,1022403.0
