assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,pts_bps,WHH,WHD,WHA
0,0,-1,0,2.3,46,0.02,0.05,0.03,0.0,2,0,0,1.0,0.0,2022-08-06,8,3,0,0,0,0,1,0,60038,0,0,2,8.0,0,0,0,0,50,False,1,0,1,0.0260044001042842,5,Bournemouth,Aston Villa,2,0,18204,2022,539422,0.0,0,0,0,0.0260044001042842,0.0370017997920513,0.0109973000362515,2,2,1,2.1,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.3,0.49
0,0,6,0,25.7,46,0.06,0.06,0.0,0.32,22,0,0,3.4,8.6,2022-08-20,17,7,0,0,0,0,3,0,41376,0,1,3,0.0,1,-11577,2455,14032,49,False,0,0,0,0.0,15,Crystal Palace,Aston Villa,3,1,18223,2022,542453,0.070779301226139,0,2,0,0.0,0.1084700003266334,0.0516236014664173,2,2,3,0.3,MID,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.33,0.0,0.77,2.67,2.67,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.67,0.0,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.7,20012.67,1.0,0.4,0.31,0.34
0,0,11,1,2.3,46,0.02,0.02,0.0,0.38,32,0,0,0.5,2.4,2022-08-28,65,19,0,0,0,0,4,0,35142,1,1,0,0.0,3,-6949,845,7794,48,True,0,0,0,0.0,67,Aston Villa,West Ham,0,1,18239,2022,545240,0.0,0,0,0,0.0,0.0545325987040996,0.0545325987040996,2,2,4,1.0,MID,0.0,0.03,0.04,0.01,0.11,0.0,0.0,1.47,2.87,9.33,2.67,8.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,1.67,0.33,0.0,0.33,0.01,0.02,0.0,0.67,0.0,0.01,0.05,0.02,0.8,33804.67,3.0,0.44,0.29,0.32
0,1,21,0,0.2,46,0.0,0.02,0.02,0.17,41,1,1,4.1,33.6,2022-08-31,17,1,0,0,0,0,5,0,33371,0,1,2,7.0,7,-2648,1568,4216,48,False,0,1,1,0.0125141004100441,15,Arsenal,Aston Villa,2,1,18247,2022,546280,0.0,0,0,1,0.0125141004100441,0.0,0.0,2,4,5,1.7,MID,0.33,0.03,0.03,0.0,0.23,0.0,0.0,1.3,3.67,9.33,0.0,27.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.0,1.33,0.0,0.0,0.0,0.02,0.0,0.67,0.0,0.0,0.05,0.04,0.43,25506.0,6.0,0.69,0.23,0.14
0,0,11,0,15.2,46,0.13,0.13,0.0,2.1,51,1,0,2.3,7.8,2022-09-03,90,13,0,0,0,0,6,0,44727,1,1,1,0.0,2,8444,12460,4016,48,True,0,0,0,0.0,90,Aston Villa,Manchester City,1,1,18258,2022,547430,0.1440459936857223,0,1,0,0.0,0.1440459936857223,0.0,5,2,6,1.6,MID,0.33,0.03,0.03,0.01,0.29,0.33,0.33,2.67,14.87,9.4,2.33,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.67,3.67,0.33,0.33,0.0,0.02,0.0,0.67,0.33,0.0,0.05,0.04,1.0,36629.67,2.0,0.11,0.19,0.76
0,0,8,0,11.2,46,0.01,0.01,0.0,0.18,71,0,0,2.7,16.0,2022-09-16,46,17,0,0,0,0,8,0,54955,0,0,1,0.0,1,3848,6112,2264,48,True,0,0,0,0.0,47,Aston Villa,Southampton,1,0,18272,2022,550346,0.0699952989816665,0,1,0,0.0,0.0699952989816665,0.0,2,2,8,3.2,MID,0.0,0.04,0.05,0.01,0.76,0.67,0.33,2.13,13.8,5.13,2.33,35.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.0,3.0,0.33,0.33,0.0,0.05,0.0,0.33,0.33,0.0,0.05,0.0,1.1,26032.67,1.0,0.49,0.29,0.29
0,1,25,1,28.1,46,0.12,0.12,0.0,0.37,85,0,0,5.1,22.6,2022-10-02,90,11,0,0,0,0,9,0,53141,1,0,0,0.0,4,-111,5352,5463,48,False,0,0,0,0.0,90,Leeds,Aston Villa,0,0,18286,2022,553312,0.301483005285263,0,2,0,0.0,0.5693519711494446,0.5457950234413147,2,2,9,2.5,MID,0.0,0.05,0.05,0.0,0.76,0.33,0.0,1.67,7.93,8.8,0.0,45.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.67,1.0,0.0,0.0,0.0,0.07,0.0,0.67,0.0,0.0,0.07,0.0,1.6,33227.33,3.0,0.43,0.29,0.34
0,0,14,0,34.5,46,0.21,0.32,0.11,0.31,99,1,0,7.6,13.0,2022-10-10,90,16,0,0,0,0,10,0,55632,1,1,1,28.0,2,1826,6724,4898,48,False,0,0,2,0.1103829964995384,90,Nottingham Forest,Aston Villa,1,1,18300,2022,555433,0.2495719939470291,0,2,0,0.1103829964995384,0.0,0.0,2,2,10,2.8,MID,0.33,0.04,0.04,0.0,0.18,0.0,0.0,2.6,12.87,13.1,0.0,45.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.67,0.0,0.0,0.0,0.12,0.0,1.0,0.0,0.0,0.21,0.18,1.9,36032.0,2.0,0.29,0.3,0.47
0,0,10,0,7.6,46,0.01,0.03,0.02,0.87,101,2,0,2.7,12.0,2022-10-16,90,6,0,0,0,0,11,0,53592,1,2,0,7.0,2,-2134,2567,4701,48,True,0,0,1,0.0180523991584777,90,Aston Villa,Chelsea,0,2,18302,2022,556552,0.0,0,0,0,0.0180523991584777,0.0599509999155998,0.0599509999155998,3,2,11,2.2,MID,0.33,0.11,0.15,0.04,0.29,0.33,0.0,5.13,17.2,24.6,9.33,75.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.67,2.33,0.0,0.67,0.04,0.21,0.0,1.67,0.0,0.04,0.21,0.18,2.83,54576.0,2.0,0.23,0.28,0.56
0,0,-2,0,5.0,46,0.0,0.0,0.0,3.01,116,3,0,0.3,0.0,2022-10-20,61,9,0,0,0,1,12,0,52471,1,0,3,0.0,-1,-507,2065,2572,48,False,0,0,0,0.0,63,Fulham,Aston Villa,3,0,18316,2022,557754,0.0,0,0,0,0.0,0.0972644016146659,0.0972644016146659,2,2,12,0.0,MID,0.33,0.11,0.16,0.04,0.52,1.0,0.0,5.13,15.87,23.4,11.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.33,2.67,0.0,1.0,0.04,0.18,0.0,1.33,0.0,0.04,0.21,0.2,2.5,54121.67,-1.0,0.36,0.29,0.41
