assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,pts_bps,WHH,WHD,WHA
0,0,3,0,0.7,93,0.0,0.0,0.0,0.18,13,0,0,0.1,0.0,2022-08-13,10,14,0,0,0,0,2,0,3306,0,0,4,0.0,1,-379,159,538,50,True,0,0,0,0.0,6,Brentford,Manchester United,4,0,18218,2022,540808,0.0,0,0,0,0.0,0.0,0.0,3,3,2,0.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26,0.29,0.51
0,0,5,0,11.3,93,0.17,0.17,0.0,0.11,43,0,0,1.9,5.2,2022-08-30,22,7,0,0,0,0,5,0,3559,0,1,1,2.0,1,-273,179,452,49,False,0,0,0,0.0,21,Crystal Palace,Brentford,1,1,18243,2022,545881,0.1256729960441589,0,1,0,0.0,0.3000049889087677,0.3000049889087677,3,2,5,0.4,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49,0.29,0.28
0,0,5,0,0.0,93,0.0,0.0,0.0,1.43,52,1,0,0.6,6.0,2022-09-03,31,11,0,0,0,0,6,0,3551,0,2,5,0.0,1,-198,185,383,49,True,0,0,0,0.0,28,Brentford,Leeds,5,2,18257,2022,547227,0.0,0,0,0,0.0,0.0,0.0,2,3,6,1.1,MID,0.0,0.06,0.06,0.0,0.04,0.0,0.0,0.63,1.73,3.77,0.67,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.0,0.0,0.0,0.04,0.0,0.33,0.0,0.0,0.1,0.1,0.13,1186.33,1.0,0.47,0.29,0.31
0,0,1,0,1.3,93,0.0,0.0,0.0,0.28,72,0,0,0.2,0.4,2022-09-18,27,1,0,0,0,0,8,0,3686,0,3,0,0.0,1,-25,63,88,49,True,0,0,0,0.0,25,Brentford,Arsenal,0,3,18280,2022,551051,0.0,0,0,0,0.0,0.3102850019931793,0.3102850019931793,4,3,8,0.3,MID,0.0,0.06,0.06,0.0,0.51,0.33,0.0,0.83,3.73,3.77,0.67,17.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.67,0.0,0.0,0.0,0.04,0.0,0.33,0.0,0.0,0.1,0.1,0.5,2370.0,1.0,0.24,0.26,0.56
0,0,3,0,0.0,93,0.0,0.0,0.0,0.12,82,0,0,0.0,0.0,2022-10-01,6,3,0,0,0,0,9,0,3802,0,0,0,0.0,1,39,211,172,49,False,0,0,0,0.0,2,Bournemouth,Brentford,0,0,18283,2022,552416,0.0,0,0,0,0.0,0.0,0.0,3,2,9,1.5,MID,0.0,0.0,0.0,0.0,0.57,0.33,0.0,0.27,2.13,0.43,0.0,19.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.47,2412.33,1.0,0.3,0.29,0.47
0,0,4,0,0.8,93,0.0,0.0,0.0,0.79,98,2,0,0.5,2.2,2022-10-08,27,15,0,0,0,0,10,0,3828,0,1,5,2.0,1,-44,191,235,48,False,0,0,0,0.0,25,Newcastle United,Brentford,5,1,18299,2022,554117,0.0,0,0,0,0.0,0.0,0.0,3,4,10,1.0,MID,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.07,0.13,0.43,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,2496.0,1.0,0.56,0.27,0.23
1,0,14,1,11.1,93,0.47,0.6,0.13,1.54,102,0,0,3.9,20.0,2022-10-14,70,5,0,0,0,0,11,0,3802,1,0,2,8.0,6,-73,124,197,48,True,0,0,1,0.3671860098838806,73,Brentford,Brighton,2,0,18303,2022,555541,0.5894529819488525,1,1,0,0.3671860098838806,0.9566400051116944,0.0,3,3,11,2.2,MID,0.0,0.0,0.0,0.0,0.4,0.67,0.0,0.23,0.87,0.7,0.67,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.93,3772.0,6.0,0.31,0.31,0.44
0,0,1,0,2.7,93,0.01,0.01,0.0,0.2,113,0,0,0.9,4.4,2022-10-19,59,6,0,0,0,0,12,0,4573,1,0,0,2.0,1,451,617,166,48,True,0,0,0,0.0,63,Brentford,Chelsea,0,0,18314,2022,557586,0.0,0,0,0,0.0,0.532010018825531,0.532010018825531,3,3,12,0.0,MID,0.33,0.16,0.2,0.04,0.82,0.67,0.0,1.47,7.4,3.97,3.33,34.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,2.33,2.67,0.0,0.33,0.12,0.2,0.33,0.33,0.0,0.12,0.32,0.0,1.57,3810.67,1.0,0.22,0.27,0.58
0,0,5,0,20.4,93,0.0,0.08,0.08,2.26,121,3,0,5.2,7.6,2022-10-23,45,2,0,0,0,0,13,0,4488,1,0,4,24.0,1,65,348,283,48,False,0,0,1,0.0311430990695953,49,Aston Villa,Brentford,4,0,18322,2022,558803,0.0478483997285366,0,2,0,0.0311430990695953,0.0074067898094654,0.0,3,2,13,2.0,MID,0.33,0.16,0.2,0.04,0.84,0.67,0.0,1.77,8.87,4.87,4.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,2.33,2.67,0.0,0.33,0.12,0.2,0.33,0.33,0.0,0.12,0.5,0.18,1.07,4067.67,1.0,0.48,0.29,0.29
0,0,6,0,0.1,93,0.0,0.0,0.0,0.06,133,0,0,0.9,8.4,2022-10-29,7,20,0,0,0,0,14,0,4409,0,1,1,0.0,1,-108,237,345,48,True,0,0,0,0.0,1,Brentford,Wolverhampton Wanderers,1,1,18334,2022,560116,0.0,0,0,0,0.0,0.0,0.0,2,3,14,1.8,MID,0.33,0.16,0.23,0.07,1.33,1.0,0.0,3.33,10.67,11.4,11.33,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.67,0.0,0.67,0.13,0.21,0.33,1.0,0.0,0.13,0.5,0.18,1.4,4287.67,1.0,0.47,0.3,0.29
