assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,pts_bps,WHH,WHD,WHA
0,0,14,0,29.8,275,0.14,0.2,0.06,1.25,4,2,0,5.1,8.2,2022-08-06,90,9,0,0,0,0,1,0,94154,1,2,2,13.0,2,0,0,0,55,False,0,0,2,0.0393547005951404,90,Fulham,Liverpool,2,2,18203,2022,539203,0.553846001625061,0,2,0,0.0393547005951404,1.299589991569519,0.7290670275688171,4,2,1,3.5,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08,0.18,0.79
0,0,10,0,16.3,275,0.05,0.05,0.0,0.56,16,0,0,2.4,7.4,2022-08-15,27,7,0,0,0,0,2,0,110983,0,1,1,0.0,1,-2268,10938,13206,55,True,0,0,0,0.0,24,Liverpool,Crystal Palace,1,1,18221,2022,541885,0.0194768998771905,0,1,0,0.0,0.081395998597145,0.0619192011654377,2,4,2,2.5,MID,0.0,0.05,0.07,0.02,0.42,0.67,0.0,1.7,2.73,9.93,4.33,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.67,0.67,0.0,0.67,0.01,0.18,0.0,0.67,0.0,0.01,0.43,0.24,1.17,31384.67,1.0,0.85,0.15,0.06
0,0,13,0,13.0,275,0.05,0.14,0.09,1.36,27,2,0,3.0,11.0,2022-08-22,58,14,0,0,0,0,3,0,111764,1,1,2,6.0,1,-7669,11660,19329,55,False,0,0,1,0.0489032007753849,60,Manchester United,Liverpool,2,1,18231,2022,543838,0.0587866008281707,0,1,0,0.0489032007753849,0.1781049966812133,0.0704153031110763,4,4,3,1.8,MID,0.0,0.06,0.08,0.02,0.6,0.67,0.0,2.5,5.2,15.37,4.33,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.0,1.0,0.0,0.67,0.01,0.19,0.0,1.0,0.0,0.01,0.46,0.26,2.0,68379.0,1.0,0.19,0.23,0.64
0,0,12,1,4.9,275,0.05,0.05,0.0,0.33,36,0,0,2.0,10.8,2022-08-27,69,3,0,0,0,0,4,0,101342,1,0,9,4.0,3,-15335,5319,20654,54,True,0,0,0,0.0,72,Liverpool,Bournemouth,9,0,18236,2022,544464,0.0,0,0,0,0.0,0.2317540049552917,0.2317540049552917,2,4,4,3.3,MID,0.0,0.08,0.13,0.05,1.06,1.33,0.0,3.5,8.87,19.7,6.33,58.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.67,1.33,0.0,1.0,0.03,0.21,0.0,1.33,0.0,0.03,0.52,0.29,2.6,105633.67,3.0,0.91,0.11,0.05
0,0,12,0,16.7,275,0.45,0.45,0.0,0.66,48,1,0,2.9,7.8,2022-08-31,70,15,0,0,0,0,5,0,96215,1,1,2,4.0,2,-8139,3883,12022,54,True,0,0,0,0.0,75,Liverpool,Newcastle United,2,1,18250,2022,546438,0.0965709015727043,0,1,0,0.0,0.6706550121307373,0.6706550121307373,3,4,5,2.8,MID,0.33,0.05,0.08,0.03,0.75,0.67,0.0,2.47,9.73,11.4,3.33,51.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,4.0,1.67,0.0,0.33,0.02,0.03,0.0,0.67,0.0,0.02,0.16,0.12,2.53,108029.67,2.0,0.78,0.18,0.1
0,0,16,0,27.3,275,0.28,0.28,0.0,0.85,87,2,0,3.6,6.2,2022-10-01,58,5,0,0,0,0,9,0,56161,1,3,3,2.0,1,-2137,958,3095,53,True,0,0,0,0.0,62,Liverpool,Brighton,3,3,18288,2022,552337,0.570730984210968,0,2,0,0.0,1.201159954071045,0.9301270246505736,3,4,9,2.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.74,0.2,0.12
0,0,11,0,14.3,275,0.04,0.11,0.07,3.09,91,3,0,4.0,15.2,2022-10-09,90,1,0,0,0,0,10,0,56416,1,2,3,10.0,2,-482,1693,2175,53,False,0,0,1,0.0372910983860492,90,Arsenal,Liverpool,3,2,18292,2022,555097,0.0367472991347312,0,1,0,0.0372910983860492,0.1796050071716308,0.142314001917839,4,4,10,2.0,MID,0.0,0.09,0.09,0.0,0.28,0.67,0.0,1.2,2.07,9.1,0.67,19.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.0,0.33,0.0,0.0,0.0,0.19,0.0,0.67,0.0,0.0,0.4,0.31,0.67,18720.33,2.0,0.4,0.28,0.38
0,0,4,0,10.1,275,0.0,0.03,0.03,0.17,106,0,0,1.5,3.4,2022-10-16,17,13,0,0,0,0,11,0,56467,0,0,1,1.0,1,-577,1315,1892,53,True,0,0,1,0.0178657993674278,16,Liverpool,Manchester City,1,0,18307,2022,556890,0.0382547006011009,0,1,0,0.0178657993674278,0.3034650087356567,0.2652100026607513,5,4,11,1.3,MID,0.0,0.11,0.13,0.02,1.31,1.67,0.0,2.53,7.13,13.87,4.0,49.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,2.0,1.0,0.0,0.33,0.01,0.2,0.0,1.0,0.0,0.01,0.46,0.36,1.33,37525.67,1.0,0.27,0.26,0.53
0,0,17,1,28.5,275,0.16,0.26,0.1,1.84,118,0,0,5.8,16.6,2022-10-19,90,19,0,0,0,0,12,0,56479,1,0,1,13.0,3,-209,956,1165,53,True,0,0,2,0.0775159001350402,90,Liverpool,West Ham,1,0,18320,2022,557527,0.0827125012874603,0,2,0,0.0775159001350402,0.3973369896411896,0.2371090054512024,2,4,12,0.0,MID,0.0,0.11,0.14,0.03,1.37,1.67,0.0,3.03,8.27,17.23,4.33,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,2.33,1.33,0.0,0.67,0.02,0.22,0.0,1.33,0.0,0.02,0.56,0.45,1.77,56348.0,3.0,0.71,0.21,0.13
0,0,10,0,3.8,275,0.08,0.08,0.0,0.48,126,0,0,0.7,3.0,2022-10-22,28,16,0,0,0,0,13,0,57770,0,0,1,0.0,1,848,1981,1133,53,False,0,0,0,0.0,27,Nottingham Forest,Liverpool,1,0,18327,2022,557981,0.0,0,0,0,0.0,0.0781560018658638,0.0781560018658638,4,2,13,3.1,MID,0.33,0.07,0.13,0.07,1.7,1.0,0.0,3.77,11.73,17.63,8.0,65.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,1.67,2.0,0.0,1.33,0.04,0.05,0.0,1.33,0.0,0.04,0.29,0.21,1.1,56454.0,1.0,0.09,0.17,0.8
