assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3
0,0,6,0,14.3,12,0.12,0.12,0.0,0.13,11,0,0,1.9,5.0,2022-08-13,6,10,0,0,0,0,2,0,93669,0,2,4,0.0,1,-48857,1122,49979,59,True,0,0,0,0.0,2,Arsenal,Leicester,4,2,18217,2022,540657,0.0707354992628097,0,1,0,0.0,0.0,0.0,3,4,2,0.8,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,6,0,10.7,12,0.03,0.07,0.04,0.17,21,0,0,3.5,7.4,2022-08-20,16,3,0,0,0,0,3,0,89169,0,3,0,17.0,1,-11539,7054,18593,59,False,0,0,1,0.08002720028162,14,Bournemouth,Arsenal,0,3,18227,2022,542575,0.2657989859580993,0,1,0,0.08002720028162,0.3458259999752044,0.0,4,2,3,1.7,MID,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.63,1.67,4.77,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,0.33,0.0,0.0,0.0,0.02,0.0,0.33,0.0,0.0,0.0,0.0,0.27,31223.0
0,0,4,0,10.9,12,0.03,0.03,0.0,0.0,41,0,0,1.4,3.4,2022-08-31,9,2,0,0,0,0,5,0,70354,0,1,2,0.0,1,-10373,2997,13370,58,True,0,0,0,0.0,7,Arsenal,Aston Villa,2,1,18247,2022,546267,0.021025400608778,0,1,0,0.0,0.1019930019974708,0.1019930019974708,2,4,5,1.1,MID,0.0,0.05,0.06,0.01,0.1,0.0,0.0,1.8,4.13,8.33,5.67,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.33,0.67,0.0,0.33,0.03,0.11,0.0,0.67,0.0,0.03,0.12,0.0,0.83,60946.0
0,0,2,0,0.8,12,0.01,0.06,0.05,0.3,56,1,0,0.0,0.0,2022-09-04,16,14,0,0,0,0,6,0,69914,0,1,3,1.0,1,-3725,5845,9570,57,False,0,0,1,0.0716361999511718,13,Manchester United,Arsenal,3,1,18261,2022,548118,0.0,0,0,0,0.0716361999511718,0.0716361999511718,0.0,4,4,6,0.8,MID,0.0,0.02,0.03,0.01,0.06,0.0,0.0,1.63,3.6,7.2,5.67,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.67,0.67,0.0,0.33,0.03,0.1,0.0,0.67,0.0,0.03,0.15,0.03,0.93,53174.33
0,0,3,0,0.0,12,0.0,0.0,0.0,0.0,199,0,0,0.0,0.0,2023-01-15,1,18,0,0,0,0,20,0,39932,0,2,0,0.0,1,-65,355,420,56,False,0,0,0,0.0,1,Tottenham,Arsenal,0,2,18400,2022,569594,0.0,0,0,0,0.0,0.0,0.0,4,4,20,0.2,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,0,1.0,12,0.01,0.15,0.14,0.62,61,0,0,0.8,0.2,2023-03-01,8,8,0,0,0,0,25,0,39931,0,0,4,7.0,1,73,258,185,56,True,0,0,1,0.1407400071620941,4,Arsenal,Everton,4,0,18269,2022,578949,0.0,0,0,0,0.1407400071620941,0.1407400071620941,0.0,2,4,25,1.4,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,15,0,25.5,12,0.3,0.32,0.02,0.26,251,1,0,5.9,19.2,2023-03-04,46,3,0,0,0,0,26,0,40066,0,2,3,14.0,4,-11,198,209,56,True,0,0,1,0.0370802991092205,51,Arsenal,Bournemouth,3,2,18452,2022,579616,0.5869680047035217,1,2,0,0.0370802991092205,0.0587804988026618,0.01932879909873,2,4,26,1.8,MID,0.0,0.0,0.05,0.05,0.21,0.0,0.0,0.27,0.07,0.33,2.33,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.33,0.0,0.33,0.05,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.47,13310.33
0,0,3,0,0.3,12,0.01,0.01,0.0,0.18,271,0,0,0.1,0.4,2023-03-19,7,7,0,0,0,0,28,0,40845,0,1,4,0.0,1,-100,208,308,56,True,0,0,0,0.0,4,Arsenal,Crystal Palace,4,1,18472,2022,583830,0.0,0,0,0,0.0,0.0,0.0,2,4,28,1.7,MID,0.0,0.1,0.16,0.05,0.29,0.33,0.0,2.23,6.47,8.83,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.33,1.67,0.0,0.67,0.06,0.2,0.33,0.67,0.0,0.06,0.07,0.01,1.07,26665.67
0,0,3,0,0.0,12,0.0,0.0,0.0,0.0,281,0,0,0.0,0.2,2023-04-01,5,11,0,0,0,0,29,0,40930,0,1,4,0.0,1,-79,253,332,56,True,0,0,0,0.0,1,Arsenal,Leeds,4,1,18482,2022,584773,0.0,0,0,0,0.0,0.0,0.0,2,4,29,1.2,MID,0.0,0.1,0.11,0.01,0.15,0.33,0.0,2.0,6.53,8.6,4.67,17.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,1.67,0.0,0.33,0.01,0.2,0.33,0.67,0.0,0.01,0.02,0.01,1.17,26970.33
0,0,3,0,0.2,12,0.0,0.0,0.0,0.17,329,1,0,0.1,0.4,2023-04-26,19,13,0,0,0,0,33,0,41090,0,1,4,0.0,1,-92,50,142,56,False,0,0,0,0.0,14,Manchester City,Arsenal,4,1,18531,2022,591706,0.0,0,0,0,0.0,0.0,0.0,4,5,33,-0.1,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
