assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,pts_bps,WHH,WHD,WHA
0,0,4,0,0.8,298,0.0,0.0,0.0,0.84,14,0,0,0.4,3.6,2023-08-19,14,3,0,0,0,0,2,0,28148,0,1,3,0.0,1,-2163,1403,3566,45,True,0,0,0,0.0,10,Liverpool,Bournemouth,3,1,22288,2023,605132,0.0,0,0,0,0.0,0.0,0.0,2,5,2,1.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.17,0.1
0,0,4,0,0.1,298,0.0,0.01,0.01,1.34,29,0,0,1.7,13.0,2023-08-27,57,15,0,0,0,0,3,0,27843,0,2,1,4.0,1,-2003,735,2738,45,False,0,0,1,0.0102840876206755,58,Newcastle United,Liverpool,1,2,22304,2023,607712,0.0,0,0,0,0.0102840876206755,0.10867590457201,0.10867590457201,4,4,3,0.7,DEF,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.13,1.2,0.27,0.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,9382.67,1.0,0.49,0.28,0.36
0,0,24,1,11.3,298,0.01,0.06,0.05,0.66,37,0,0,2.7,11.6,2023-09-03,90,2,0,0,0,0,4,0,31163,1,0,3,4.0,6,1158,3411,2253,45,True,0,0,1,0.0296871345490217,90,Liverpool,Aston Villa,3,0,21933,2023,609368,0.0308777652680873,0,1,0,0.0296871345490217,0.9345853924751282,0.9345853924751282,3,5,4,2.5,DEF,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.7,5.53,0.3,1.33,23.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.57,18663.67,6.0,0.67,0.24,0.22
0,0,16,0,22.1,298,0.06,0.06,0.0,0.63,50,1,0,4.4,21.6,2023-09-16,90,20,0,0,0,0,5,0,47017,1,3,1,0.0,2,10565,14000,3435,45,False,0,0,0,0.0,90,Wolverhampton Wanderers,Liverpool,1,3,21935,2023,610070,0.0442289300262928,0,1,0,0.0,0.4867052733898163,0.4867052733898163,4,2,5,3.5,DEF,0.33,0.0,0.02,0.02,0.95,0.0,0.0,1.6,9.4,4.07,2.67,53.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,2.33,2.67,0.0,0.67,0.01,0.01,0.0,0.33,0.0,0.01,0.35,0.35,1.4,29051.33,2.0,0.17,0.23,0.74
0,0,16,0,14.8,298,0.03,0.03,0.0,1.11,57,1,0,3.5,17.8,2023-09-24,90,19,0,0,0,0,6,0,47059,1,1,3,2.0,2,-541,3950,4491,45,True,0,0,0,0.0,90,Liverpool,West Ham,3,1,21953,2023,612795,0.0651178061962127,0,1,0,0.0,1.0664583444595337,1.0664583444595337,2,5,6,3.3,DEF,0.33,0.02,0.04,0.02,0.88,0.33,0.0,2.93,15.4,11.17,2.67,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,1.67,3.0,0.0,0.67,0.01,0.03,0.0,0.67,0.0,0.01,0.51,0.51,2.23,35341.0,2.0,0.75,0.22,0.15
0,0,8,0,1.1,298,0.01,0.01,0.0,1.44,68,1,0,1.8,9.0,2023-09-30,72,18,0,0,0,0,7,0,48416,1,1,2,8.0,2,231,4080,3849,45,False,0,0,0,0.0,80,Tottenham,Liverpool,2,1,21962,2023,614978,0.0,0,0,0,0.0,0.6652358770370483,0.6652358770370483,4,4,7,2.5,DEF,0.33,0.03,0.05,0.02,0.8,0.67,0.0,3.53,17.0,16.07,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.33,3.33,0.0,0.33,0.01,0.05,0.0,1.0,0.0,0.01,0.83,0.83,3.1,41746.33,2.0,0.35,0.25,0.47
0,0,3,0,10.6,298,0.0,0.0,0.0,0.49,72,0,0,1.4,3.0,2023-10-08,10,5,0,0,0,0,8,0,51158,0,2,2,0.0,0,1664,5892,4228,45,False,1,0,0,0.0,7,Brighton,Liverpool,2,2,21966,2023,616948,0.0166993867605924,0,1,0,0.0,0.033761590719223,0.0170622039586305,4,3,8,1.8,DEF,0.0,0.03,0.03,0.0,1.06,1.0,0.0,3.23,16.13,12.67,3.33,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,2.0,2.0,0.0,0.0,0.0,0.04,0.0,0.67,0.0,0.0,0.74,0.74,3.1,47497.33,0.0,0.35,0.24,0.48
0,0,4,0,11.6,298,0.01,0.07,0.06,0.01,85,0,0,2.1,3.8,2023-10-21,9,9,0,0,0,0,9,0,52307,0,0,2,6.0,1,122,4780,4658,45,True,0,0,2,0.062303327023983,7,Liverpool,Everton,2,0,21979,2023,617762,0.0902373567223548,0,1,0,0.062303327023983,0.1497509032487869,0.0355339050292968,2,5,9,1.5,DEF,0.0,0.01,0.01,0.0,1.01,0.67,0.0,2.23,9.93,8.83,3.33,57.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.33,2.33,1.33,0.0,0.0,0.0,0.03,0.0,0.67,0.0,0.0,0.59,0.58,2.53,48877.67,1.0,0.75,0.18,0.12
0,0,3,0,0.1,298,0.0,0.0,0.0,0.07,97,0,0,0.1,0.4,2023-10-29,1,16,0,0,0,0,10,0,50412,0,0,3,0.0,1,-2402,2264,4666,45,True,0,0,0,0.0,1,Liverpool,Nottingham Forest,3,0,21991,2023,620608,0.0,0,0,0,0.0,0.0282278209924697,0.0282278209924697,2,5,10,1.2,DEF,0.0,0.01,0.03,0.02,0.65,0.33,0.0,1.77,5.27,7.77,4.67,30.33,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,2.0,1.0,0.0,0.67,0.02,0.04,0.0,0.67,0.0,0.02,0.28,0.24,1.93,50627.0,1.0,0.8,0.15,0.1
0,1,22,1,23.9,298,0.01,0.37,0.36,0.37,105,0,0,4.5,15.0,2023-11-05,66,12,0,0,0,0,11,0,48627,1,1,1,6.0,7,-2225,2012,4237,45,False,0,0,1,0.1454159468412399,69,Luton,Liverpool,1,1,21999,2023,622366,0.0283707361668348,0,2,0,0.1454159468412399,0.7759495377540588,0.7475787997245789,4,2,11,4.0,DEF,0.0,0.0,0.02,0.02,0.19,0.0,0.0,1.2,2.4,7.43,2.0,6.67,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.67,2.33,0.67,0.0,0.67,0.02,0.04,0.0,0.67,0.0,0.02,0.07,0.03,1.5,51292.33,6.0,0.09,0.15,0.83
