assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,pts_bps,WHH,WHD,WHA
0,0,6,0,26.7,560,0.16,0.2,0.04,0.11,9,1,0,4.3,7.4,2024-08-18,32,13,0,0,0,0,1,0,100779,0,2,0,9.0,1,0,0,0,65,True,0,0,1,0.0504299737513065,25,Chelsea,Manchester City,0,2,26610,2024,667022,0.1282843202352523,0,2,0,0.0504299737513065,0.1787142902612686,0.108023852109909,5,4,1,1.3,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.55
1,0,12,0,13.3,560,0.05,0.05,0.0,0.17,20,0,0,4.1,21.6,2024-08-25,45,20,0,0,0,0,2,0,106044,0,6,2,6.0,4,-7679,11121,18800,65,False,0,0,0,0.0,35,Wolverhampton Wanderers,Chelsea,2,6,26619,2024,668760,0.1129174754023552,1,1,0,0.0,0.2497705072164535,0.2497705072164535,4,2,2,2.5,MID,0.0,0.05,0.07,0.01,0.04,0.33,0.0,1.43,2.47,8.9,3.0,10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.33,0.0,0.33,0.02,0.04,0.0,0.67,0.0,0.02,0.06,0.04,0.43,33593.0,4.0,0.23,0.25,0.57
0,0,-1,0,2.2,560,0.02,0.02,0.0,0.13,23,1,0,0.1,0.0,2024-09-01,57,7,0,0,0,0,3,0,107645,1,1,1,0.0,0,-3643,20308,23951,65,True,1,0,0,0.0,61,Chelsea,Crystal Palace,1,1,26630,2024,672436,0.0,0,0,0,0.0,0.0,0.0,2,4,3,1.7,MID,0.0,0.07,0.08,0.01,0.09,0.33,0.0,2.8,9.67,13.33,5.0,25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.67,1.67,0.0,0.33,0.02,0.08,0.33,1.0,0.0,0.02,0.14,0.12,1.27,68941.0,0.0,0.61,0.23,0.2
0,0,5,0,16.3,560,0.03,0.03,0.0,1.29,32,0,0,2.1,4.4,2024-09-14,45,3,0,0,0,0,4,0,93108,1,1,0,0.0,1,-17382,10810,28192,64,False,0,0,0,0.0,47,Bournemouth,Chelsea,0,1,26639,2024,674171,0.0542932525277137,0,1,0,0.0,0.0,0.0,4,3,4,1.5,MID,0.0,0.08,0.09,0.01,0.14,0.67,0.0,2.83,9.67,14.07,5.0,44.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,3.0,1.0,1.67,0.0,0.33,0.02,0.08,0.33,1.0,0.0,0.02,0.14,0.12,1.83,104822.67,1.0,0.29,0.26,0.49
0,0,4,0,2.8,560,0.02,0.02,0.0,0.35,50,0,0,1.7,8.4,2024-09-21,33,19,0,0,0,0,5,0,80588,0,3,0,6.0,1,-13757,3013,16770,64,False,0,0,0,0.0,31,West Ham,Chelsea,0,3,26642,2024,675304,0.0,0,0,0,0.0,1.0722980499267578,1.0722980499267578,4,2,5,1.5,MID,0.0,0.03,0.03,0.0,0.53,0.33,0.0,2.1,8.67,10.6,2.0,49.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,2.67,1.0,1.67,0.0,0.0,0.0,0.06,0.33,0.67,0.0,0.0,0.08,0.08,1.9,102265.67,1.0,0.29,0.27,0.49
0,0,5,0,10.3,560,0.09,0.16,0.07,0.22,54,0,0,2.4,4.2,2024-09-28,27,5,0,0,0,0,6,0,65681,0,2,4,9.0,1,-15530,1533,17063,63,True,0,0,1,0.0729085430502891,19,Chelsea,Brighton,4,2,26657,2024,677906,0.1305889040231704,0,1,0,0.0729085430502891,0.203497439622879,0.0,2,4,6,0.8,MID,0.0,0.02,0.02,0.0,0.59,0.33,0.0,1.3,4.27,7.1,2.0,45.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.67,0.33,0.67,0.0,0.0,0.0,0.02,0.0,0.33,0.0,0.0,0.36,0.36,1.57,93780.33,1.0,0.57,0.24,0.23
0,0,5,0,19.5,560,0.04,0.04,0.0,0.25,65,0,0,2.4,4.0,2024-10-06,1,16,0,0,0,0,7,0,56899,0,1,1,0.0,0,-9456,1341,10797,62,True,1,0,0,0.0,1,Chelsea,Nottingham Forest,1,1,26668,2024,680147,0.1988500207662582,0,1,0,0.0,0.1988500207662582,0.1988500207662582,3,4,7,0.8,MID,0.0,0.05,0.07,0.02,0.62,0.0,0.0,2.07,5.67,9.8,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,1.33,1.0,0.0,0.33,0.02,0.06,0.0,0.67,0.0,0.02,0.43,0.36,1.27,79792.33,0.0,0.67,0.22,0.15
0,0,6,0,40.9,560,0.09,0.11,0.02,0.78,74,1,0,5.1,8.6,2024-10-20,45,12,0,0,0,0,8,0,51808,0,1,2,1.0,1,-5707,727,6434,62,False,0,0,1,0.0166405644267797,36,Liverpool,Chelsea,2,1,26679,2024,682212,0.1603420376777649,0,3,0,0.0166405644267797,0.1769825965166092,0.0362117514014244,4,5,8,0.2,MID,0.0,0.05,0.07,0.02,0.27,0.0,0.0,2.17,5.53,10.87,5.0,20.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,2.0,1.67,0.67,0.0,0.33,0.02,0.11,0.0,0.67,0.0,0.02,0.49,0.42,1.03,67722.67,1.0,0.61,0.23,0.21
1,1,28,0,42.8,560,0.27,0.45,0.18,1.92,85,1,0,11.0,31.4,2024-10-27,90,15,0,0,0,0,9,0,51705,1,1,2,36.0,5,-586,1963,2549,62,True,1,0,5,0.2504968047142029,90,Chelsea,Newcastle United,2,1,26688,2024,683516,0.7113414406776428,1,3,0,0.2504968047142029,0.962264597415924,0.1263037919998169,3,4,9,2.5,MID,0.0,0.07,0.1,0.03,0.42,0.33,0.0,3.3,5.6,23.57,3.33,24.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.33,2.33,0.67,0.0,0.67,0.03,0.16,0.0,1.67,0.0,0.03,0.19,0.08,0.6,58129.33,4.0,0.56,0.24,0.25
0,0,10,0,2.4,560,0.01,0.07,0.06,1.98,95,1,0,2.7,8.0,2024-11-03,90,14,0,0,0,0,10,0,70829,1,1,1,17.0,2,17494,20581,3087,62,False,0,0,2,0.0550673156976699,90,Manchester United,Chelsea,1,1,26697,2024,685878,0.0,0,0,0,0.0550673156976699,0.1065343469381332,0.0514670312404632,4,3,10,3.2,MID,0.0,0.13,0.2,0.07,0.98,0.67,0.0,6.17,14.67,34.4,12.33,45.33,0.0,0.0,0.0,0.0,0.67,0.0,0.33,1.0,1.67,2.0,0.0,2.0,0.09,0.36,0.33,2.33,0.0,0.09,0.45,0.12,1.17,53470.67,2.0,0.38,0.26,0.4
