assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5
0,0,19,1,39.9,368,0.5,0.66,0.16,0.44,1,0,0,8.0,26.8,2024-08-16,90,9,0,0,0,0,1,0,39317,1,0,1,13.0,3,0,0,0,50,True,0,0,3,0.1096058711409568,90,Manchester United,Fulham,1,0,26602,2024,666174,0.7596358060836792,0,3,0,0.1096058711409568,0.9763396978378296,0.1569380611181259,2,3,1,1.6,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,13,0,4.7,368,0.02,0.12,0.1,2.09,13,2,0,3.3,12.6,2024-08-24,90,5,0,0,0,0,2,0,70647,1,1,2,16.0,2,10111,17943,7832,50,False,0,0,3,0.071231372654438,90,Brighton,Manchester United,2,1,26612,2024,667713,0.0,0,0,0,0.071231372654438,0.6497523188591003,0.6064204573631287,3,3,2,2.5,MID,1.0,0.5,0.66,0.16,0.44,0.0,0.0,8.0,26.8,39.9,13.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.11,0.76,0.0,3.0,0.0,0.11,0.98,0.16,1.6,39317.0,1.0,0.5,0.66,0.16,0.44,0.0,0.0,8.0,26.8,39.9,13.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.11,0.76,0.0,3.0,0.0,0.11,0.98,0.16,1.6,39317.0
0,0,5,0,0.5,368,0.0,0.0,0.0,0.7,27,2,0,0.1,0.0,2024-09-01,45,12,0,0,0,0,3,0,66794,1,3,0,0.0,1,-8434,8341,16775,50,True,0,0,0,0.0,51,Manchester United,Liverpool,0,3,26631,2024,672617,0.0,0,0,0,0.0,0.0,0.0,5,3,3,1.5,MID,1.0,0.52,0.78,0.26,2.53,2.0,0.0,11.3,39.4,44.6,29.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,0.0,6.0,0.18,0.76,0.0,3.0,0.0,0.18,1.63,0.76,4.1,109964.0,1.0,0.52,0.78,0.26,2.53,2.0,0.0,11.3,39.4,44.6,29.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,0.0,6.0,0.18,0.76,0.0,3.0,0.0,0.18,1.63,0.76,4.1,109964.0
0,0,3,0,4.9,368,0.05,0.05,0.0,0.0,38,0,0,0.8,3.0,2024-09-14,3,17,0,0,0,0,4,0,58445,0,3,0,0.0,1,-11231,4564,15795,50,False,0,0,0,0.0,1,Southampton,Manchester United,0,3,26632,2024,673384,0.0,0,0,0,0.0,0.5501279830932617,0.5501279830932617,3,2,4,1.8,MID,1.0,0.52,0.78,0.26,3.23,4.0,0.0,11.4,39.4,45.1,29.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,6.0,0.0,6.0,0.18,0.76,0.0,3.0,0.0,0.18,1.63,0.76,5.6,176758.0,1.0,0.52,0.78,0.26,3.23,4.0,0.0,11.4,39.4,45.1,29.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,6.0,0.0,6.0,0.18,0.76,0.0,3.0,0.0,0.18,1.63,0.76,5.6,176758.0
0,0,13,0,25.3,368,0.07,0.24,0.17,2.6,57,2,0,5.1,11.6,2024-09-29,45,18,0,0,0,0,6,0,50435,0,3,0,14.0,1,-5826,1737,7563,49,True,0,0,2,0.0943929180502891,39,Manchester United,Tottenham,0,3,26660,2024,678653,0.1473519802093505,0,2,0,0.0943929180502891,0.2333089411258697,0.1904626488685608,4,3,6,0.8,MID,0.0,0.05,0.05,0.0,0.7,2.0,0.0,0.9,3.0,5.4,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,3.3,125239.0,1.0,0.57,0.83,0.26,3.23,4.0,0.0,12.2,42.4,50.0,29.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,7.0,0.0,6.0,0.18,0.76,0.0,3.0,0.0,0.18,2.18,1.31,7.4,235203.0
0,0,5,0,10.4,368,0.01,0.01,0.0,0.09,62,0,0,1.3,2.6,2024-10-06,5,2,0,0,0,0,7,0,48798,0,0,0,0.0,1,-2534,2553,5087,48,False,0,0,0,0.0,2,Aston Villa,Manchester United,0,0,26670,2024,680098,0.029438279569149,0,1,0,0.0,0.029438279569149,0.0,3,4,7,0.8,MID,0.0,0.12,0.29,0.17,2.6,2.0,0.0,5.9,14.6,30.2,14.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,0.09,0.15,0.0,2.0,0.0,0.09,0.78,0.74,2.6,108880.0,0.0,0.14,0.41,0.27,5.39,6.0,0.0,9.3,27.2,35.4,30.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,5.0,0.0,5.0,0.17,0.15,0.0,2.0,0.0,0.17,1.43,1.35,6.6,246321.0
0,0,23,0,49.3,368,0.19,0.26,0.07,0.73,75,1,0,10.1,37.2,2024-10-19,87,4,0,0,0,0,8,0,48252,1,1,2,14.0,2,-1328,2251,3579,48,True,0,0,3,0.0611277036368846,90,Manchester United,Brentford,2,1,26675,2024,681293,0.2593445479869842,0,4,0,0.0611277036368846,0.4126839935779571,0.2625793814659118,2,3,8,1.3,MID,0.0,0.08,0.25,0.17,2.69,2.0,0.0,6.4,14.2,35.7,14.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.09,0.18,0.0,3.0,0.0,0.09,0.26,0.19,1.6,99233.0,0.0,0.13,0.3,0.17,3.39,4.0,0.0,7.3,17.2,41.1,14.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,0.0,2.0,0.09,0.18,0.0,3.0,0.0,0.09,0.81,0.74,4.9,224472.0
0,3,46,0,32.9,368,0.29,0.69,0.4,2.98,90,2,1,15.1,64.4,2024-10-27,90,19,0,0,0,0,9,0,45793,1,1,2,54.0,10,-2543,756,3299,48,False,0,1,2,0.6180117130279541,90,West Ham,Manchester United,2,1,26690,2024,683469,0.339457094669342,0,2,1,0.6180117130279541,0.8791360855102539,0.8510568737983704,3,2,9,3.5,MID,0.0,0.27,0.51,0.24,3.42,3.0,0.0,16.5,51.4,85.0,28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,0.0,5.0,0.16,0.44,0.0,7.0,0.0,0.16,0.68,0.45,2.9,147485.0,0.0,0.32,0.56,0.24,3.42,3.0,0.0,17.3,54.4,89.9,28.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,5.0,0.0,5.0,0.16,0.44,0.0,7.0,0.0,0.16,1.23,1.0,4.7,205930.0
0,0,6,0,5.3,368,0.21,0.23,0.02,1.11,95,1,0,2.4,16.6,2024-11-03,90,6,0,0,0,0,10,0,76275,1,1,1,2.0,1,27556,30160,2604,48,True,1,0,1,0.0183077789843082,90,Manchester United,Chelsea,1,1,26697,2024,685860,0.0,0,0,0,0.0183077789843082,0.0183077789843082,0.0,4,3,10,3.8,MID,0.0,0.49,0.96,0.47,3.8,3.0,1.0,26.5,104.2,92.6,68.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,13.0,1.0,5.0,0.68,0.63,0.0,7.0,1.0,0.68,1.32,1.11,5.6,142843.0,0.0,0.56,1.2,0.64,6.4,5.0,1.0,31.6,115.8,117.9,82.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,14.0,1.0,7.0,0.77,0.78,0.0,9.0,1.0,0.77,1.55,1.3,6.4,193278.0
0,0,15,1,16.0,368,0.01,0.02,0.01,0.77,106,0,0,4.4,23.4,2024-11-10,78,11,0,0,0,0,11,0,93152,1,0,3,5.0,3,16083,22744,6661,48,True,0,0,1,0.0241107977926731,81,Manchester United,Leicester,3,0,26708,2024,687345,0.2419338673353195,0,1,0,0.0241107977926731,0.4655526578426361,0.2236188054084777,2,3,11,,,0.0,0.69,1.18,0.49,4.82,4.0,1.0,27.6,118.2,87.5,70.0,267.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,5.0,13.0,1.0,6.0,0.7,0.6,0.0,6.0,1.0,0.7,1.31,1.11,8.6,170320.0,0.0,0.77,1.43,0.66,7.51,6.0,1.0,34.0,132.4,123.2,84.0,317.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,5.0,15.0,1.0,8.0,0.79,0.78,0.0,9.0,1.0,0.79,1.57,1.3,10.2,269553.0
